Name,Flow,Amount,Description (name),Description (flow)
BIOMETHANOL_TO_AROMATICS,BENZENE,1.0,Conversion of BioMethanol to Aromatic Compounds,Benzene
BIOMETHANOL_TO_AROMATICS,BIO_METHANOL,-74.074,Conversion of BioMethanol to Aromatic Compounds,Bio-methanol
BIOMETHANOL_TO_AROMATICS,CO2_A,13.186,Conversion of BioMethanol to Aromatic Compounds,CO2 emission (from carbon-intensive fields)
BIOMETHANOL_TO_AROMATICS,ETHYLENE,5.33,Conversion of BioMethanol to Aromatic Compounds,Ethylene
BIOMETHANOL_TO_AROMATICS,TOLUENE,6.296,Conversion of BioMethanol to Aromatic Compounds,Toluene
BIOMETHANOL_TO_AROMATICS,XYLENE,10.37,Conversion of BioMethanol to Aromatic Compounds,Xylene
BIOMETHANOL_TO_OLEFINS,BIO_METHANOL,-2.891,Conversion of BioMethanol to Olefinic Compounds,Bio-methanol
BIOMETHANOL_TO_OLEFINS,CO2_A,25843.33,Conversion of BioMethanol to Olefinic Compounds,CO2 emission (from carbon-intensive fields)
BIOMETHANOL_TO_OLEFINS,ETHYLENE,1.0,Conversion of BioMethanol to Olefinic Compounds,Ethylene
BIOMETHANOL_TO_OLEFINS,PROPYLENE,1.643,Conversion of BioMethanol to Olefinic Compounds,Propylene
BIO_DIESEL,BIO_DIESEL,1.0,Bio-diesel,Bio-diesel
BIO_ETHANOL,BIO_ETHANOL,1.0,Bio-ethanol,Bio-ethanol
BIO_ETHANOL,CO2_E,-0.2579384463,Bio-ethanol,CO2 emission (from nonconcentrated spot sources)
BUS_BIODIESEL_B100,BIO_DIESEL,-0.391,100% BioDiesel-Powered Bus,Bio-diesel
BUS_BIODIESEL_B100,CO2_E,0.112,100% BioDiesel-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_BIODIESEL_B100,MOB_PUBLIC_SD,1.0,100% BioDiesel-Powered Bus,Public mobility
BUS_BIODIESEL_B20,BIO_DIESEL,-0.078,20% BioDiesel-Powered Bus,Bio-diesel
BUS_BIODIESEL_B20,CO2_E,0.111,20% BioDiesel-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_BIODIESEL_B20,DIESEL,-0.313,20% BioDiesel-Powered Bus,Diesel
BUS_BIODIESEL_B20,MOB_PUBLIC_SD,1.0,20% BioDiesel-Powered Bus,Public mobility
BUS_CNG,CO2_E,0.095,Compressed Natural Gas-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_CNG,MOB_PUBLIC_SD,1.0,Compressed Natural Gas-Powered Bus,Public mobility
BUS_CNG,NG_HP,-0.458,Compressed Natural Gas-Powered Bus,Natural gas (high pressure)
BUS_CSNG,CO2_E,0.095,Compressed Synthetic Natural Gas-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_CSNG,MOB_PUBLIC_SD,1.0,Compressed Synthetic Natural Gas-Powered Bus,Public mobility
BUS_CSNG,SNG_HP,-0.458,Compressed Synthetic Natural Gas-Powered Bus,Synthetic natural gas (high pressure)
BUS_DIESEL,CO2_E,0.111,Diesel-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_DIESEL,DIESEL,-0.391,Diesel-Powered Bus,Diesel
BUS_DIESEL,MOB_PUBLIC_SD,1.0,Diesel-Powered Bus,Public mobility
BUS_EV,ELECTRICITY_MV,-0.153,Electric-Powered Bus,Electricity (medium voltage)
BUS_EV,MOB_PUBLIC_SD,1.0,Electric-Powered Bus,Public mobility
BUS_FC_H2,H2_HP,-0.229,Hydrogen Fuel Cell-Powered Bus,Hydrogen (high pressure)
BUS_FC_H2,MOB_PUBLIC_SD,1.0,Hydrogen Fuel Cell-Powered Bus,Public mobility
BUS_GASOLINE,CO2_E,0.111,Gasoline-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_GASOLINE,GASOLINE,-0.472,Gasoline-Powered Bus,Gasoline
BUS_GASOLINE,MOB_PUBLIC_SD,1.0,Gasoline-Powered Bus,Public mobility
BUS_HY_DIESEL,CO2_E,0.08,Diesel Hybrid Bus,CO2 emission (from nonconcentrated spot sources)
BUS_HY_DIESEL,DIESEL,-0.281,Diesel Hybrid Bus,Diesel
BUS_HY_DIESEL,MOB_PUBLIC_SD,1.0,Diesel Hybrid Bus,Public mobility
BUS_PROPANE,CO2_E,0.111,Propane-Powered Bus,CO2 emission (from nonconcentrated spot sources)
BUS_PROPANE,MOB_PUBLIC_SD,1.0,Propane-Powered Bus,Public mobility
BUS_PROPANE,PROPANE,-0.472,Propane-Powered Bus,Propane
CAR_BIODIESEL_B100,BIO_DIESEL,-0.441,100% BioDiesel-Powered Car,Bio-diesel
CAR_BIODIESEL_B100,CO2_E,0.108,100% BioDiesel-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_BIODIESEL_B100,MOB_PRIVATE_ELD,1.0,100% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B100,MOB_PRIVATE_LD,1.0,100% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B100,MOB_PRIVATE_MD,1.0,100% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B100,MOB_PRIVATE_SD,1.0,100% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B20,BIO_DIESEL,-0.088,20% BioDiesel-Powered Car,Bio-diesel
CAR_BIODIESEL_B20,CO2_E,0.107,20% BioDiesel-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_BIODIESEL_B20,DIESEL,-0.353,20% BioDiesel-Powered Car,Diesel
CAR_BIODIESEL_B20,MOB_PRIVATE_ELD,1.0,20% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B20,MOB_PRIVATE_LD,1.0,20% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B20,MOB_PRIVATE_MD,1.0,20% BioDiesel-Powered Car,Private mobility
CAR_BIODIESEL_B20,MOB_PRIVATE_SD,1.0,20% BioDiesel-Powered Car,Private mobility
CAR_BIOETOH_E10,BIO_ETHANOL,-0.053,BioEthanol-Powered Car (E10 Blend),Bio-ethanol
CAR_BIOETOH_E10,CO2_E,0.124,BioEthanol-Powered Car (E10 Blend),CO2 emission (from nonconcentrated spot sources)
CAR_BIOETOH_E10,GASOLINE,-0.476,BioEthanol-Powered Car (E10 Blend),Gasoline
CAR_BIOETOH_E10,MOB_PRIVATE_ELD,1.0,BioEthanol-Powered Car (E10 Blend),Private mobility
CAR_BIOETOH_E10,MOB_PRIVATE_LD,1.0,BioEthanol-Powered Car (E10 Blend),Private mobility
CAR_BIOETOH_E10,MOB_PRIVATE_MD,1.0,BioEthanol-Powered Car (E10 Blend),Private mobility
CAR_BIOETOH_E10,MOB_PRIVATE_SD,1.0,BioEthanol-Powered Car (E10 Blend),Private mobility
CAR_BIOETOH_E85,BIO_ETHANOL,-0.45,BioEthanol-Powered Car with E85 Blend,Bio-ethanol
CAR_BIOETOH_E85,CO2_E,0.114,BioEthanol-Powered Car with E85 Blend,CO2 emission (from nonconcentrated spot sources)
CAR_BIOETOH_E85,GASOLINE,-0.079,BioEthanol-Powered Car with E85 Blend,Gasoline
CAR_BIOETOH_E85,MOB_PRIVATE_ELD,1.0,BioEthanol-Powered Car with E85 Blend,Private mobility
CAR_BIOETOH_E85,MOB_PRIVATE_LD,1.0,BioEthanol-Powered Car with E85 Blend,Private mobility
CAR_BIOETOH_E85,MOB_PRIVATE_MD,1.0,BioEthanol-Powered Car with E85 Blend,Private mobility
CAR_BIOETOH_E85,MOB_PRIVATE_SD,1.0,BioEthanol-Powered Car with E85 Blend,Private mobility
CAR_BIOMEOH,BIO_METHANOL,-0.05,Biomethanol-Powered Car ,Bio-methanol
CAR_BIOMEOH,CO2_E,0.111,Biomethanol-Powered Car ,CO2 emission (from nonconcentrated spot sources)
CAR_BIOMEOH,GASOLINE,-0.39,Biomethanol-Powered Car ,Gasoline
CAR_BIOMEOH,MOB_PRIVATE_ELD,1.0,Biomethanol-Powered Car ,Private mobility
CAR_BIOMEOH,MOB_PRIVATE_LD,1.0,Biomethanol-Powered Car ,Private mobility
CAR_BIOMEOH,MOB_PRIVATE_MD,1.0,Biomethanol-Powered Car ,Private mobility
CAR_BIOMEOH,MOB_PRIVATE_SD,1.0,Biomethanol-Powered Car ,Private mobility
CAR_CNG,CO2_E,0.101,Compressed Natural Gas-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_CNG,MOB_PRIVATE_ELD,1.0,Compressed Natural Gas-Powered Car,Private mobility
CAR_CNG,NG_HP,-0.599,Compressed Natural Gas-Powered Car,Natural gas (high pressure)
CAR_CNG,MOB_PRIVATE_LD,1.0,Compressed Natural Gas-Powered Car,Private mobility
CAR_CNG,MOB_PRIVATE_MD,1.0,Compressed Natural Gas-Powered Car,Private mobility
CAR_CNG,MOB_PRIVATE_SD,1.0,Compressed Natural Gas-Powered Car,Private mobility
CAR_CSNG,CO2_E,0.101,Compressed Synthetic Natural Gas-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_CSNG,MOB_PRIVATE_ELD,1.0,Compressed Synthetic Natural Gas-Powered Car,Private mobility
CAR_CSNG,SNG_HP,-0.599,Compressed Synthetic Natural Gas-Powered Car,Synthetic natural gas (high pressure)
CAR_CSNG,MOB_PRIVATE_LD,1.0,Compressed Synthetic Natural Gas-Powered Car,Private mobility
CAR_CSNG,MOB_PRIVATE_MD,1.0,Compressed Synthetic Natural Gas-Powered Car,Private mobility
CAR_CSNG,MOB_PRIVATE_SD,1.0,Compressed Synthetic Natural Gas-Powered Car,Private mobility
CAR_DIESEL,CO2_E,0.112,Diesel-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_DIESEL,DIESEL,-0.423,Diesel-Powered Car,Diesel
CAR_DIESEL,MOB_PRIVATE_ELD,1.0,Diesel-Powered Car,Private mobility
CAR_DIESEL,MOB_PRIVATE_LD,1.0,Diesel-Powered Car,Private mobility
CAR_DIESEL,MOB_PRIVATE_MD,1.0,Diesel-Powered Car,Private mobility
CAR_DIESEL,MOB_PRIVATE_SD,1.0,Diesel-Powered Car,Private mobility
CAR_ETOH_E10,CO2_E,0.124,Ethanol-Powered Car (E10 Blend),CO2 emission (from nonconcentrated spot sources)
CAR_ETOH_E10,ETHANOL,-0.053,Ethanol-Powered Car (E10 Blend),Ethanol
CAR_ETOH_E10,GASOLINE,-0.476,Ethanol-Powered Car (E10 Blend),Gasoline
CAR_ETOH_E10,MOB_PRIVATE_ELD,1.0,Ethanol-Powered Car (E10 Blend),Private mobility
CAR_ETOH_E10,MOB_PRIVATE_LD,1.0,Ethanol-Powered Car (E10 Blend),Private mobility
CAR_ETOH_E10,MOB_PRIVATE_MD,1.0,Ethanol-Powered Car (E10 Blend),Private mobility
CAR_ETOH_E10,MOB_PRIVATE_SD,1.0,Ethanol-Powered Car (E10 Blend),Private mobility
CAR_ETOH_E85,CO2_E,0.114,Ethanol-Powered Car with E85 Blend,CO2 emission (from nonconcentrated spot sources)
CAR_ETOH_E85,ETHANOL,-0.45,Ethanol-Powered Car with E85 Blend,Ethanol
CAR_ETOH_E85,GASOLINE,-0.079,Ethanol-Powered Car with E85 Blend,Gasoline
CAR_ETOH_E85,MOB_PRIVATE_ELD,1.0,Ethanol-Powered Car with E85 Blend,Private mobility
CAR_ETOH_E85,MOB_PRIVATE_LD,1.0,Ethanol-Powered Car with E85 Blend,Private mobility
CAR_ETOH_E85,MOB_PRIVATE_MD,1.0,Ethanol-Powered Car with E85 Blend,Private mobility
CAR_ETOH_E85,MOB_PRIVATE_SD,1.0,Ethanol-Powered Car with E85 Blend,Private mobility
CAR_EV,ELECTRICITY_MV,-0.192,Electric-Powered Car,Electricity (medium voltage)
CAR_EV,MOB_PRIVATE_ELD,1.0,Electric-Powered Car,Private mobility
CAR_EV,MOB_PRIVATE_LD,1.0,Electric-Powered Car,Private mobility
CAR_EV,MOB_PRIVATE_MD,1.0,Electric-Powered Car,Private mobility
CAR_EV,MOB_PRIVATE_SD,1.0,Electric-Powered Car,Private mobility
CAR_FC_H2,CO2_E,0.022,Fuel Cell-Powered Car with Hydrogen,CO2 emission (from nonconcentrated spot sources)
CAR_FC_H2,H2_HP,-0.256,Fuel Cell-Powered Car with Hydrogen,Hydrogen (high pressure)
CAR_FC_H2,MOB_PRIVATE_ELD,1.0,Fuel Cell-Powered Car with Hydrogen,Private mobility
CAR_FC_H2,MOB_PRIVATE_LD,1.0,Fuel Cell-Powered Car with Hydrogen,Private mobility
CAR_FC_H2,MOB_PRIVATE_MD,1.0,Fuel Cell-Powered Car with Hydrogen,Private mobility
CAR_FC_H2,MOB_PRIVATE_SD,1.0,Fuel Cell-Powered Car with Hydrogen,Private mobility
CAR_GASOLINE,CO2_E,0.116,Gasoline-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_GASOLINE,GASOLINE,-0.426,Gasoline-Powered Car,Gasoline
CAR_GASOLINE,MOB_PRIVATE_ELD,1.0,Gasoline-Powered Car,Private mobility
CAR_GASOLINE,MOB_PRIVATE_LD,1.0,Gasoline-Powered Car,Private mobility
CAR_GASOLINE,MOB_PRIVATE_MD,1.0,Gasoline-Powered Car,Private mobility
CAR_GASOLINE,MOB_PRIVATE_SD,1.0,Gasoline-Powered Car,Private mobility
CAR_HEV,CO2_E,0.09,Hybrid Electric Car,CO2 emission (from nonconcentrated spot sources)
CAR_HEV,GASOLINE,-0.381,Hybrid Electric Car,Gasoline
CAR_HEV,MOB_PRIVATE_ELD,1.0,Hybrid Electric Car,Private mobility
CAR_HEV,MOB_PRIVATE_LD,1.0,Hybrid Electric Car,Private mobility
CAR_HEV,MOB_PRIVATE_MD,1.0,Hybrid Electric Car,Private mobility
CAR_HEV,MOB_PRIVATE_SD,1.0,Hybrid Electric Car,Private mobility
CAR_MEOH,CO2_E,0.111,Methanol-Powered Car ,CO2 emission (from nonconcentrated spot sources)
CAR_MEOH,GASOLINE,-0.39,Methanol-Powered Car ,Gasoline
CAR_MEOH,METHANOL,-0.05,Methanol-Powered Car ,Methanol
CAR_MEOH,MOB_PRIVATE_ELD,1.0,Methanol-Powered Car ,Private mobility
CAR_MEOH,MOB_PRIVATE_LD,1.0,Methanol-Powered Car ,Private mobility
CAR_MEOH,MOB_PRIVATE_MD,1.0,Methanol-Powered Car ,Private mobility
CAR_MEOH,MOB_PRIVATE_SD,1.0,Methanol-Powered Car ,Private mobility
CAR_PHEV,CO2_E,0.052,Plug-in Hybrid Electric Car,CO2 emission (from nonconcentrated spot sources)
CAR_PHEV,ELECTRICITY_MV,-0.112,Plug-in Hybrid Electric Car,Electricity (medium voltage)
CAR_PHEV,GASOLINE,-0.222,Plug-in Hybrid Electric Car,Gasoline
CAR_PHEV,MOB_PRIVATE_ELD,1.0,Plug-in Hybrid Electric Car,Private mobility
CAR_PHEV,MOB_PRIVATE_LD,1.0,Plug-in Hybrid Electric Car,Private mobility
CAR_PHEV,MOB_PRIVATE_MD,1.0,Plug-in Hybrid Electric Car,Private mobility
CAR_PHEV,MOB_PRIVATE_SD,1.0,Plug-in Hybrid Electric Car,Private mobility
CAR_PROPANE,CO2_E,0.11,Propane-Powered Car,CO2 emission (from nonconcentrated spot sources)
CAR_PROPANE,MOB_PRIVATE_ELD,1.0,Propane-Powered Car,Private mobility
CAR_PROPANE,PROPANE,-0.529,Propane-Powered Car,Propane
CAR_PROPANE,MOB_PRIVATE_LD,1.0,Propane-Powered Car,Private mobility
CAR_PROPANE,MOB_PRIVATE_MD,1.0,Propane-Powered Car,Private mobility
CAR_PROPANE,MOB_PRIVATE_SD,1.0,Propane-Powered Car,Private mobility
CCGT,CO2_A,0.314,Combined Cycle Gas Turbine,CO2 emission (from carbon-intensive fields)
CCGT,ELECTRICITY_HV,1.0,Combined Cycle Gas Turbine,Electricity (high voltage)
CCGT,NG_HP,-1.587,Combined Cycle Gas Turbine,Natural gas (high pressure)
CCGT_BIOGAS,CO2_A,0.314,Combined Cycle BioGas Turbine,CO2 emission (from carbon-intensive fields)
CCGT_BIOGAS,ELECTRICITY_HV,1.0,Combined Cycle BioGas Turbine,Electricity (high voltage)
CCGT_BIOGAS,SNG_HP,-1.587,Combined Cycle BioGas Turbine,Synthetic natural gas (high pressure)
CCGT_BIOGAS_CC,CO2_C,0.314,Combined Cycle BioGas Turbine with Carbon Capture,Captured CO2
CCGT_BIOGAS_CC,CO2_E,0.09,Combined Cycle BioGas Turbine with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
CCGT_BIOGAS_CC,ELECTRICITY_HV,1.0,Combined Cycle BioGas Turbine with Carbon Capture,Electricity (high voltage)
CCGT_BIOGAS_CC,SNG_HP,-1.754,Combined Cycle BioGas Turbine with Carbon Capture,Synthetic natural gas (high pressure)
CCGT_CC,CO2_C,0.314,Combined Cycle Gas Turbine with Carbon Capture,Captured CO2
CCGT_CC,CO2_E,0.09,Combined Cycle Gas Turbine with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
CCGT_CC,ELECTRICITY_HV,1.0,Combined Cycle Gas Turbine with Carbon Capture,Electricity (high voltage)
CCGT_CC,NG_HP,-1.754,Combined Cycle Gas Turbine with Carbon Capture,Natural gas (high pressure)
CEMENT_PROD,CEMENT,1.0,Cement Production,Cement
CEMENT_PROD,CO2_A,0.185,Cement Production,CO2 emission (from carbon-intensive fields)
CEMENT_PROD,ELECTRICITY_MV,-0.108,Cement Production,Electricity (medium voltage)
CEMENT_PROD,HEAT_HIGH_T,-0.862,Cement Production,Heat (high temperature)
CEMENT_PROD_HP,CEMENT,1.0,Cement Production (heat pump),Cement
CEMENT_PROD_HP,CO2_A,0.185,Cement Production (heat pump),CO2 emission (from carbon-intensive fields)
CEMENT_PROD_HP,ELECTRICITY_MV,-0.058,Cement Production (heat pump),Electricity (medium voltage)
CEMENT_PROD_HP,HEAT_HIGH_T,-0.862,Cement Production (heat pump),Heat (high temperature)
CO2_E,CO2_E,1.0,,CO2 emission (from nonconcentrated spot sources)
CO2_METHANOL,CO2_C,-0.25,Conversion of CO2 to Methanol,Captured CO2
CO2_METHANOL,H2_MP,-1.5,Conversion of CO2 to Methanol,Hydrogen (medium pressure)
CO2_METHANOL,METHANOL,1.0,Conversion of CO2 to Methanol,Methanol
CO2_STO,CO2_C,-1.0,CO2 Storage (input),Captured CO2
CO2_STO,CO2_CS,1.0,CO2 Storage (input),Captured & stored CO2
CO2_STO,ELECTRICITY_MV,-0.007,CO2 Storage (input),Electricity (medium voltage)
CO2_TO_DIESEL,CO2_C,-0.361,Conversion of CO2 to Diesel,Captured CO2
CO2_TO_DIESEL,DIESEL,1.0,Conversion of CO2 to Diesel,Diesel
CO2_TO_DIESEL,GASOLINE,0.388,Conversion of CO2 to Diesel,Gasoline
CO2_TO_DIESEL,H2_MP,-1.538,Conversion of CO2 to Diesel,Hydrogen (medium pressure)
CO2_TO_JETFUELS,BIO_JETFUEL,1.0,Conversion of CO2 to Jet Fuels,Bio-jetfuel
CO2_TO_JETFUELS,CO2_A,1.023,Conversion of CO2 to Jet Fuels,CO2 emission (from carbon-intensive fields)
CO2_TO_JETFUELS,CO2_C,-0.26,Conversion of CO2 to Jet Fuels,Captured CO2
CO2_TO_JETFUELS,H2_MP,-1.19,Conversion of CO2 to Jet Fuels,Hydrogen (medium pressure)
CO2_TO_JETFUELS,WET_BIOMASS,-3.413,Conversion of CO2 to Jet Fuels,Wet biomass
COACH_BIODIESEL_B100,BIO_DIESEL,-0.122,100% BioDiesel-Powered Coach,Bio-diesel
COACH_BIODIESEL_B100,CO2_E,0.024,100% BioDiesel-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_BIODIESEL_B100,MOB_PUBLIC_ELD,1.0,100% BioDiesel-Powered Coach,Public mobility
COACH_BIODIESEL_B100,MOB_PUBLIC_LD,1.0,100% BioDiesel-Powered Coach,Public mobility
COACH_BIODIESEL_B100,MOB_PUBLIC_MD,1.0,100% BioDiesel-Powered Coach,Public mobility
COACH_BIODIESEL_B20,BIO_DIESEL,-0.024,20% BioDiesel-Powered Coach,Bio-diesel
COACH_BIODIESEL_B20,CO2_E,0.024,20% BioDiesel-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_BIODIESEL_B20,DIESEL,-0.097,20% BioDiesel-Powered Coach,Diesel
COACH_BIODIESEL_B20,MOB_PUBLIC_ELD,1.0,20% BioDiesel-Powered Coach,Public mobility
COACH_BIODIESEL_B20,MOB_PUBLIC_LD,1.0,20% BioDiesel-Powered Coach,Public mobility
COACH_BIODIESEL_B20,MOB_PUBLIC_MD,1.0,20% BioDiesel-Powered Coach,Public mobility
COACH_BIOETOH_E10,BIO_ETHANOL,-0.016,10% BioEthanol-Powered Coach,Bio-ethanol
COACH_BIOETOH_E10,CO2_E,0.039,10% BioEthanol-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_BIOETOH_E10,GASOLINE,-0.148,10% BioEthanol-Powered Coach,Gasoline
COACH_BIOETOH_E10,MOB_PUBLIC_ELD,1.0,10% BioEthanol-Powered Coach,Public mobility
COACH_BIOETOH_E10,MOB_PUBLIC_LD,1.0,10% BioEthanol-Powered Coach,Public mobility
COACH_BIOETOH_E10,MOB_PUBLIC_MD,1.0,10% BioEthanol-Powered Coach,Public mobility
COACH_CNG,CO2_E,0.019,Compressed Natural Gas-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_CNG,MOB_PUBLIC_ELD,1.0,Compressed Natural Gas-Powered Coach,Public mobility
COACH_CNG,NG_HP,-0.11,Compressed Natural Gas-Powered Coach,Natural gas (high pressure)
COACH_CNG,MOB_PUBLIC_LD,1.0,Compressed Natural Gas-Powered Coach,Public mobility
COACH_CNG,MOB_PUBLIC_MD,1.0,Compressed Natural Gas-Powered Coach,Public mobility
COACH_CSNG,CO2_E,0.019,Compressed Synthetic Natural Gas-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_CSNG,MOB_PUBLIC_ELD,1.0,Compressed Synthetic Natural Gas-Powered Coach,Public mobility
COACH_CSNG,SNG_HP,-0.11,Compressed Synthetic Natural Gas-Powered Coach,Synthetic natural gas (high pressure)
COACH_CSNG,MOB_PUBLIC_LD,1.0,Compressed Synthetic Natural Gas-Powered Coach,Public mobility
COACH_CSNG,MOB_PUBLIC_MD,1.0,Compressed Synthetic Natural Gas-Powered Coach,Public mobility
COACH_DIESEL,CO2_E,0.024,Diesel-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_DIESEL,DIESEL,-0.122,Diesel-Powered Coach,Diesel
COACH_DIESEL,MOB_PUBLIC_ELD,1.0,Diesel-Powered Coach,Public mobility
COACH_DIESEL,MOB_PUBLIC_LD,1.0,Diesel-Powered Coach,Public mobility
COACH_DIESEL,MOB_PUBLIC_MD,1.0,Diesel-Powered Coach,Public mobility
COACH_ETOH_E10,CO2_E,0.039,10% Ethanol-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_ETOH_E10,ETHANOL,-0.016,10% Ethanol-Powered Coach,Ethanol
COACH_ETOH_E10,GASOLINE,-0.148,10% Ethanol-Powered Coach,Gasoline
COACH_ETOH_E10,MOB_PUBLIC_ELD,1.0,10% Ethanol-Powered Coach,Public mobility
COACH_ETOH_E10,MOB_PUBLIC_LD,1.0,10% Ethanol-Powered Coach,Public mobility
COACH_ETOH_E10,MOB_PUBLIC_MD,1.0,10% Ethanol-Powered Coach,Public mobility
COACH_EV,ELECTRICITY_MV,-0.036,Electric-Powered Coach,Electricity (medium voltage)
COACH_EV,MOB_PUBLIC_ELD,1.0,Electric-Powered Coach,Public mobility
COACH_EV,MOB_PUBLIC_LD,1.0,Electric-Powered Coach,Public mobility
COACH_EV,MOB_PUBLIC_MD,1.0,Electric-Powered Coach,Public mobility
COACH_GASOLINE,CO2_E,0.039,Gasoline-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_GASOLINE,GASOLINE,-0.165,Gasoline-Powered Coach,Gasoline
COACH_GASOLINE,MOB_PUBLIC_ELD,1.0,Gasoline-Powered Coach,Public mobility
COACH_GASOLINE,MOB_PUBLIC_LD,1.0,Gasoline-Powered Coach,Public mobility
COACH_GASOLINE,MOB_PUBLIC_MD,1.0,Gasoline-Powered Coach,Public mobility
COACH_HY_DIESEL,CO2_E,0.048,Diesel Hybrid Coach,CO2 emission (from nonconcentrated spot sources)
COACH_HY_DIESEL,DIESEL,-0.183,Diesel Hybrid Coach,Diesel
COACH_HY_DIESEL,MOB_PUBLIC_ELD,1.0,Diesel Hybrid Coach,Public mobility
COACH_HY_DIESEL,MOB_PUBLIC_LD,1.0,Diesel Hybrid Coach,Public mobility
COACH_HY_DIESEL,MOB_PUBLIC_MD,1.0,Diesel Hybrid Coach,Public mobility
COACH_PROPANE,CO2_E,0.039,Propane-Powered Coach,CO2 emission (from nonconcentrated spot sources)
COACH_PROPANE,MOB_PUBLIC_ELD,1.0,Propane-Powered Coach,Public mobility
COACH_PROPANE,PROPANE,-0.165,Propane-Powered Coach,Propane
COACH_PROPANE,MOB_PUBLIC_LD,1.0,Propane-Powered Coach,Public mobility
COACH_PROPANE,MOB_PUBLIC_MD,1.0,Propane-Powered Coach,Public mobility
COAL,COAL,1.0,Coal,Coal
COAL_GAS_H2,CO2_A,0.656,Hydrogen from Coal Gasification,CO2 emission (from carbon-intensive fields)
COAL_GAS_H2,COAL,-1.635,Hydrogen from Coal Gasification,Coal
COAL_GAS_H2,ELECTRICITY_LV,0.043,Hydrogen from Coal Gasification,Electricity (low voltage)
COAL_GAS_H2,H2_MP,1.0,Hydrogen from Coal Gasification,Hydrogen (medium pressure)
COAL_GAS_H2_ADV,CO2_A,1.221,Hydrogen from Advanced Coal Gasification,CO2 emission (from carbon-intensive fields)
COAL_GAS_H2_ADV,COAL,-3.042,Hydrogen from Advanced Coal Gasification,Coal
COAL_GAS_H2_ADV,ELECTRICITY_LV,0.898,Hydrogen from Advanced Coal Gasification,Electricity (low voltage)
COAL_GAS_H2_ADV,H2_MP,1.0,Hydrogen from Advanced Coal Gasification,Hydrogen (medium pressure)
COAL_GAS_H2_ADV_CCS,CO2_C,1.062,Hydrogen from Advanced Coal Gasification with Carbon Capture,Captured CO2
COAL_GAS_H2_ADV_CCS,CO2_E,0.118,Hydrogen from Advanced Coal Gasification with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
COAL_GAS_H2_ADV_CCS,COAL,-2.939,Hydrogen from Advanced Coal Gasification with Carbon Capture,Coal
COAL_GAS_H2_ADV_CCS,ELECTRICITY_LV,0.661,Hydrogen from Advanced Coal Gasification with Carbon Capture,Electricity (low voltage)
COAL_GAS_H2_ADV_CCS,H2_MP,1.0,Hydrogen from Advanced Coal Gasification with Carbon Capture,Hydrogen (medium pressure)
COAL_GAS_H2_CCS,CO2_C,0.652,Hydrogen from Coal Gasification with Carbon Capture,Captured CO2
COAL_GAS_H2_CCS,CO2_E,0.072,Hydrogen from Coal Gasification with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
COAL_GAS_H2_CCS,COAL,-1.804,Hydrogen from Coal Gasification with Carbon Capture,Coal
COAL_GAS_H2_CCS,ELECTRICITY_LV,0.064,Hydrogen from Coal Gasification with Carbon Capture,Electricity (low voltage)
COAL_GAS_H2_CCS,H2_MP,1.0,Hydrogen from Coal Gasification with Carbon Capture,Hydrogen (medium pressure)
COAL_IGCC,CO2_A,0.442,Integrated Gasification Combined Cycle,CO2 emission (from carbon-intensive fields)
COAL_IGCC,COAL,-2.065,Integrated Gasification Combined Cycle,Coal
COAL_IGCC,ELECTRICITY_HV,1.0,Integrated Gasification Combined Cycle,Electricity (high voltage)
COAL_IGCC_CC,CO2_C,0.754,Integrated Gasification Combined Cycle with Carbon Capture,Captured CO2
