Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Electric-Powered Short Distance Semi-trailer truck,Operation,=1/6.3,kilometer,ton kilometer,"payload (6.3 t): (Sacchi, 2021)"
Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,Construction,=1 * 8760 * 0.093 / (6.3 * 73000),unit,ton kilometer per hour,"payload (6.3 t), yearly distance (73000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,Operation,=1/6.3,kilometer,ton kilometer,"payload (6.3 t): (Sacchi, 2021)"
Diesel Hybrid Short Distance Semi-trailer truck,Construction,=1 * 8760 * 0.093 / (6.3 * 73000),unit,ton kilometer per hour,"payload (6.3 t), yearly distance (73000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Diesel Hybrid Short Distance Semi-trailer truck,Operation,=1/6.3,kilometer,ton kilometer,"payload (6.3 t): (Sacchi, 2021)"
Propane-Powered Short Distance Semi-trailer truck,Construction,=1 * 8760 * 0.093 / (6.3 * 73000),unit,ton kilometer per hour,"payload (6.3 t), yearly distance (73000 km): (Sacchi, 2021), capacity factor (0.093): (Limpens, 2021)"
Propane-Powered Short Distance Semi-trailer truck,Operation,=1/6.3,kilometer,ton kilometer,"payload (6.3 t): (Sacchi, 2021)"
Implementation of SMART Process from ethylbenzene to styrene,Construction,=(8760*0.86)/(0.05*1000) / 1000000,unit,kilogram per hour,"yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Implementation of SMART Process from ethylbenzene to styrene,Operation,1,kilogram,kilogram,None
Steam Methane Reforming,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Steam Methane Reforming,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Steam Methane Reforming with Carbon Capture,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Steam Methane Reforming with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Steam Methane Reforming with Carbon Capture (plant),Construction,1,unit,unit,None
Steam Methane Reforming with Carbon Capture (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Steam Methane Reforming (plant),Construction,1,unit,unit,None
Steam Methane Reforming (storage tank),Construction,=0.00000000254628/5.3483199147628E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Synthetic natural gas,Resource,=1 / (0.777 * 13.1),cubic meter,kilowatt hour,"natural gas LHV (13.1 kWh/kg), natural gas density (0.777 kg/m3): (Engineering ToolBox, 2003)"
Conversion of Synthetic Natural Gas to Natural Gas,Operation,=1 / (0.777 * 13.1),cubic meter,kilowatt hour,"natural gas LHV (13.1 kWh/kg), natural gas density (0.777 kg/m3): (Engineering ToolBox, 2003)"
Solid Oxide Electrolysis Cell Electrolysis,Construction,=1/(33.3/42.3) / 1000,unit,kilowatt,"electricity consumption (42.3 kWh/kg H2): (Gerloff, 2021), LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003), capacity (1 MWe)"
Solid Oxide Electrolysis Cell Electrolysis,Operation,=1 / 33.3,kilogram,kilowatt hour,"LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Solid Oxide Electrolysis Cell Electrolysis (plant),Construction,1,unit,unit,None
Solid Oxide Electrolysis Cell Electrolysis (plant decommissioning),Construction,-1,unit,unit,None
Solid Oxide Electrolysis Cell Electrolysis (stack),Construction,1,unit,unit,None
Solid Oxide Electrolysis Cell Electrolysis (stack decommissioning),Construction,-1,unit,unit,None
Solid Oxide Fuel Cell,Construction,=1/125,unit,kilowatt,None
Solid Oxide Fuel Cell,Operation,1,kilowatt hour,kilowatt hour,None
Steel Production,Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"annual output (130 kt/y): (Wernet, 2016), capacity factor (0.85): (Moret, 2017)"
Steel Production,Operation,1,kilogram,kilogram,None
Steel Production (heat pump),Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"annual output (130 kt/y): (Wernet, 2016), capacity factor (0.85): (Moret, 2017)"
Steel Production (heat pump),Operation,1,kilogram,kilogram,None
Steel Production with Heat Recovery,Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"annual output (130 kt/y): (Wernet, 2016), capacity factor (0.85): (Moret, 2017)"
Steel Production with Heat Recovery,Operation,1,kilogram,kilogram,None
Styrene,Resource,=1,kilogram,kilogram,None
Styrene Polymerization Process,Construction,=(8760*0.86)/(0.05*1000) / 1000000,unit,kilogram per hour,"yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
Styrene Polymerization Process,Operation,1,kilogram,kilogram,None
100% BioDiesel-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
100% BioDiesel-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
20% BioDiesel-Powered Sport Utility Vehicle,Construction,=1 * 8760 * 0.051 / (1.23 * 12000),unit,person kilometer per hour,"people per vehicle (1.23): (Chaire Mobilite, 2018), yearly distance (12000km): (Sacchi, 2022), capacity factor (0.051): (Limpens, 2021)"
20% BioDiesel-Powered Sport Utility Vehicle,Operation,=1,person kilometer,person kilometer,None
