Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Biogenic waste,Resource,=-1 * 3.6 / (6.087*0.95),kilogram,kilowatt hour,"Biowaste HHV (6.087 MJ/kg): (Wernet, 2016), HHV to LHV ratio (0.95): (Engineering ToolBox, 2003)"
Fossil waste,Resource,=-1 * 3.6 / 2.453,kilogram,kilowatt hour,"Refinery sludge LHV (2.453 MJ/kg): (Wernet, 2016)"
Wet biomass,Resource,=1 * 3.6 / (0.95*15),kilogram,kilowatt hour,"HHV manure (15 MJ/kg): (Marin-Batista, 2020), LHV-to-HHV ratio (0.95)"
Wind Energy Offshore,Construction,=1000/2000000,unit,kilowatt,Capacity (2 MW)
Wind Energy Offshore,Operation,=1,kilowatt hour,kilowatt hour,None
Wind Energy Offshore (fixed parts),Construction,1,unit,unit,None
Wind Energy Offshore (moving parts),Construction,1,unit,unit,None
Wind Energy Onshore,Construction,=1000/2000000,unit,kilowatt,Capacity (2 MW)
Wind Energy Onshore,Operation,=1,kilowatt hour,kilowatt hour,None
Wind Energy Onshore (connection),Construction,1,unit,unit,None
Wind Energy Onshore (co-generation unit),Construction,1,unit,unit,None
New Wind Energy Onshore,Construction,=1000/2000000,unit,kilowatt,Capacity (2 MW)
New Wind Energy Onshore,Operation,=1,kilowatt hour,kilowatt hour,None
New Wind Energy Onshore (connection),Construction,1,unit,unit,None
New Wind Energy Onshore (co-generation unit),Construction,1,unit,unit,None
Wood,Resource,=1 * 3.6 / 15.4,kilogram,kilowatt hour,"LHV wood (15.4 MJ/kg): (Engineering ToolBox, 2003)"
Conversion of Wood to Methanol,Construction,=(24*0.86)/2.7 / 1000000,unit,kilowatt,"Daily production (2700 t/day): (Wernet, 2016), LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003), capacity factor (0.86): (Moret, 2017)"
Conversion of Wood to Methanol,Operation,=1 / 5.54,kilogram,kilowatt hour,"LHV methanol (5.54 kWh/kg): (Engineering ToolBox, 2003)"
