Name,Flow,Amount
100% BioDiesel-Powered Bus,Bio-diesel,-0.391
100% BioDiesel-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.112
100% BioDiesel-Powered Bus,Public mobility,1.0
20% BioDiesel-Powered Bus,Bio-diesel,-0.078
20% BioDiesel-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.111
20% BioDiesel-Powered Bus,Diesel,-0.313
20% BioDiesel-Powered Bus,Public mobility,1.0
Compressed Natural Gas-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.095
Compressed Natural Gas-Powered Bus,Public mobility,1.0
Compressed Natural Gas-Powered Bus,Natural gas (high pressure),-0.458
Compressed Synthetic Natural Gas-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.095
Compressed Synthetic Natural Gas-Powered Bus,Public mobility,1.0
Compressed Synthetic Natural Gas-Powered Bus,Synthetic natural gas (high pressure),-0.458
Diesel-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.111
Diesel-Powered Bus,Diesel,-0.391
Diesel-Powered Bus,Public mobility,1.0
Electric-Powered Bus,Electricity (medium voltage),-0.153
Electric-Powered Bus,Public mobility,1.0
Hydrogen Fuel Cell-Powered Bus,Hydrogen (high pressure),-0.229
Hydrogen Fuel Cell-Powered Bus,Public mobility,1.0
Gasoline-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.111
Gasoline-Powered Bus,Gasoline,-0.472
Gasoline-Powered Bus,Public mobility,1.0
Diesel Hybrid Bus,CO2 emission (from nonconcentrated spot sources),0.08
Diesel Hybrid Bus,Diesel,-0.281
Diesel Hybrid Bus,Public mobility,1.0
Propane-Powered Bus,CO2 emission (from nonconcentrated spot sources),0.111
Propane-Powered Bus,Public mobility,1.0
Propane-Powered Bus,Propane,-0.472
100% BioDiesel-Powered Car,Bio-diesel,-0.441
100% BioDiesel-Powered Car,CO2 emission (from nonconcentrated spot sources),0.108
100% BioDiesel-Powered Car,Private mobility,1.0
20% BioDiesel-Powered Car,Bio-diesel,-0.088
20% BioDiesel-Powered Car,CO2 emission (from nonconcentrated spot sources),0.107
20% BioDiesel-Powered Car,Diesel,-0.353
20% BioDiesel-Powered Car,Private mobility,1.0
BioEthanol-Powered Car (E10 Blend),Bio-ethanol,-0.053
BioEthanol-Powered Car (E10 Blend),CO2 emission (from nonconcentrated spot sources),0.124
BioEthanol-Powered Car (E10 Blend),Gasoline,-0.476
BioEthanol-Powered Car (E10 Blend),Private mobility,1.0
BioEthanol-Powered Car with E85 Blend,Bio-ethanol,-0.45
BioEthanol-Powered Car with E85 Blend,CO2 emission (from nonconcentrated spot sources),0.114
BioEthanol-Powered Car with E85 Blend,Gasoline,-0.079
BioEthanol-Powered Car with E85 Blend,Private mobility,1.0
Biomethanol-Powered Car ,Bio-methanol,-0.05
Biomethanol-Powered Car ,CO2 emission (from nonconcentrated spot sources),0.111
Biomethanol-Powered Car ,Gasoline,-0.39
Biomethanol-Powered Car ,Private mobility,1.0
Compressed Natural Gas-Powered Car,CO2 emission (from nonconcentrated spot sources),0.101
Compressed Natural Gas-Powered Car,Private mobility,1.0
Compressed Natural Gas-Powered Car,Natural gas (high pressure),-0.599
Compressed Synthetic Natural Gas-Powered Car,CO2 emission (from nonconcentrated spot sources),0.101
Compressed Synthetic Natural Gas-Powered Car,Private mobility,1.0
Compressed Synthetic Natural Gas-Powered Car,Synthetic natural gas (high pressure),-0.599
Diesel-Powered Car,CO2 emission (from nonconcentrated spot sources),0.112
Diesel-Powered Car,Diesel,-0.423
Diesel-Powered Car,Private mobility,1.0
Ethanol-Powered Car (E10 Blend),CO2 emission (from nonconcentrated spot sources),0.124
Ethanol-Powered Car (E10 Blend),Ethanol,-0.053
Ethanol-Powered Car (E10 Blend),Gasoline,-0.476
Ethanol-Powered Car (E10 Blend),Private mobility,1.0
Ethanol-Powered Car with E85 Blend,CO2 emission (from nonconcentrated spot sources),0.114
Ethanol-Powered Car with E85 Blend,Ethanol,-0.45
Ethanol-Powered Car with E85 Blend,Gasoline,-0.079
Ethanol-Powered Car with E85 Blend,Private mobility,1.0
Electric-Powered Car,Electricity (medium voltage),-0.192
Electric-Powered Car,Private mobility,1.0
Fuel Cell-Powered Car with Hydrogen,CO2 emission (from nonconcentrated spot sources),0.022
Fuel Cell-Powered Car with Hydrogen,Hydrogen (high pressure),-0.256
Fuel Cell-Powered Car with Hydrogen,Private mobility,1.0
Gasoline-Powered Car,CO2 emission (from nonconcentrated spot sources),0.116
