Flow,Description,CPC
COAL,Coal,"['11010: Hard coal', '1101: Hard coal', '11030: Brown coal', '1103: Brown coal', '110: Coal and peat', '11: Coal and peat']"
CONSTRUCTION,Facilities construction,"['53290: Other civil engineering works', '53269: Other constructions for manufacturing', '43410: Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, mechanical grates, […]', '53241: Long-distance pipelines', '4951: Rail locomotives and locomotive tenders', '49533: Railway or tramway goods vans and wagons, not self-propelled', '49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]', '53262: Power plants']"
DECOMMISSIONING,"Decommissioning of plant, factory, facility","['43230: Air or vacuum pumps; air or other gas compressors', '46410: Primary cells and primary batteries']"
ELECTRICITY,Electricity extra high voltage,"['17100: Electrical energy', '1710: Electrical energy', '171: Electrical energy']"
NG,Natural gas high pressure,"['12020: Natural gas, liquefied or in the gaseous state', '1202: Natural gas, liquefied or in the gaseous state', '120: Crude petroleum and natural gas', '12: Crude petroleum and natural gas', '69120: Gas distribution through mains (on own account)']"
RES_SOLAR,Solar reserve,[]
RES_WIND_ONSHORE,Wind reserve,[]
URANIUM,Uranium,"['33710: Fuel elements (cartridges), non-irradiated, for nuclear reactors']"
